Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,35438,21,19.3,151,577,7598,3.6,70.4,9.5,2.51,15959,20331,11.4,69.2,91500,31943,16812,25.6,480.19,333944,2393,40716,84.8,0.7,86.7,1.5,-2,23.8,0.5,0.3,0.3,0.1,1.1,1.2,96.6,361821,8920,3224,16.2,0,0,0,0.8,0,51.3,2950,134440
Not John Kasich,7102,21.2,18.1,11,172,1474,2.1,76.4,13,2.53,5383,6053,4.6,77.2,116400,40689,20566,34,265.64,0,944,13801,52,1.7,86,2.6,-0.3,17.8,1.7,0.3,0.4,0.1,1.5,1.8,94.5,53596,3991,1264,0,0,0,0,0,0,50.2,1004,0
Not John Kasich,15356,21.6,19.7,5,437,6526,3.9,78.6,15.4,2.5,11022,13181,8.2,75.8,80500,35049,18330,26.2,599.25,767010,1573,28522,47.6,0.9,86.4,1.3,-0.5,20.1,10.3,0.5,0.3,0,1.8,2.4,85,188945,6564,2521,24.5,0,0,0,0,0,51.4,2429,71811
Not John Kasich,41911,19.1,19.7,51,686,8547,-2.6,79.8,15.8,2.32,24079,27836,13.6,72.3,101100,31842,19018,22.8,341.2,296682,3246,57424,168.3,1,87,2.1,-0.9,22.9,1.6,0.3,0.4,0,1.2,1.7,95.1,461274,7826,3938,16.2,0,0,0,0,0,51,5144,34983
Not John Kasich,23255,23.6,13.2,107,538,5638,-0.8,83.2,18.9,2.7,14421,15794,7.2,81,152900,52446,23459,32.6,302.44,754873,3234,39105,129.3,1.7,89.4,2.7,1.7,13.8,1.9,0.4,0.5,0.1,1.4,2.7,93.3,238792,6100,3820,32.1,1.9,0,1.1,0,0,50.2,2762,33767
Not John Kasich,11578,21.9,16.7,8,238,3072,0.8,81.2,15.5,2.68,5936,7022,7.2,72.6,102300,41875,18817,28.8,285.74,0,1016,17131,60,2,87.3,4.4,1.4,19.9,9.5,0.5,0.5,0,1.8,2.5,85.6,117681,7319,1253,0,0,0,0,0,0,52.1,1126,24445
Not John Kasich,21624,19.6,18.5,125,416,7026,3,74.5,13.3,2.46,12553,15009,7,75,94900,33229,18583,25.8,434.58,436150,1938,32213,74.1,1,89.2,1.4,-1.9,22.9,1.2,0.3,0.6,0,1.2,1.1,95.7,155854,5011,2503,0,0,0,0,0,0,51.1,2138,25974
Not John Kasich,4049,20.5,23.7,0,100,1148,-5.9,72.3,12.9,2.35,3281,4253,4.2,77.7,96400,29727,16867,27.1,236.54,0,699,7861,33.2,1.5,90.3,2,-1.2,20.6,1.6,0.3,0.1,0.1,1.3,1.9,94.9,37286,4706,0,0,0,0,0,0,0,51.1,499,0
Not John Kasich,44255,20.9,19.2,1,484,6036,1.8,76.7,9.5,2.36,14917,17363,8.4,70.5,99700,30573,17476,27.9,434.57,601262,2185,35662,82.1,1.6,86.1,2.5,-0.8,26.1,2,0.5,0.4,0.1,1.6,2.2,93.6,326897,9236,2791,0,0,0,0,0,0,51.6,3385,0
Not John Kasich,79255,23.9,16.9,129,1210,20471,6,82.4,18,2.49,21019,23565,13.5,67.8,116900,37618,20357,22,428.96,0,3452,52796,123.1,3,85.1,4.9,1.6,20.9,3.8,0.4,1.1,0.1,2,4,89.2,790849,15285,5398,0,0,1.9,1.8,0,0,51.2,4416,196636
